RLVL,Difficulty,Quality,ProgressDivider,QualityDivider,ProgressModifier,QualityModifier,Durability
1,19,100,50,30,100,100,60
2,20,110,50,30,100,100,60
3,20,120,50,30,100,100,60
4,21,130,50,30,100,100,60
5,33,150,50,30,100,100,60
6,36,170,50,30,100,100,60
7,37,190,50,30,100,100,60
8,41,210,50,30,100,100,60
9,42,230,50,30,100,100,60
10,45,250,50,30,100,100,60
11,48,270,50,30,100,100,60
12,53,290,50,30,100,100,60
13,54,310,50,30,100,100,60
14,54,330,50,30,100,100,60
15,55,360,50,30,100,100,70
16,63,390,50,30,100,100,70
17,66,420,50,30,100,100,70
18,67,450,50,30,100,100,70
19,68,480,50,30,100,100,70
20,74,510,50,30,100,100,70
21,75,540,50,30,100,100,70
22,75,570,50,30,100,100,70
23,79,600,50,30,100,100,70
24,85,630,50,30,100,100,70
25,89,660,50,30,100,100,70
26,90,690,50,30,100,100,70
27,91,720,50,30,100,100,70
28,100,760,50,30,100,100,70
29,101,800,50,30,100,100,70
30,102,850,50,30,100,100,70
31,106,900,50,30,100,100,80
32,110,950,50,30,100,100,80
33,111,1000,50,30,100,100,80
34,115,1050,50,30,100,100,80
35,123,1110,50,30,100,100,80
36,124,1160,50,30,100,100,80
37,128,1220,50,30,100,100,80
38,129,1280,50,30,100,100,80
39,137,1340,50,30,100,100,80
40,138,1400,50,30,100,100,80
41,143,1460,50,30,100,100,80
42,144,1520,50,30,100,100,80
43,155,1580,50,30,100,100,80
44,156,1640,50,30,100,100,80
45,158,1700,50,30,100,100,80
46,159,1760,50,30,100,100,80
47,167,1820,50,30,100,100,80
48,172,1880,50,30,100,100,80
49,174,1940,50,30,100,100,80
50,180,2000,50,30,100,100,80
51,185,2040,50,30,100,100,80
52,190,2080,50,30,100,100,80
53,195,2120,50,30,100,100,80
54,200,2160,50,30,100,100,80
55,210,2200,50,30,100,100,80
56,212,2220,50,30,100,100,80
57,214,2240,50,30,100,100,80
58,216,2260,50,30,100,100,80
59,218,2280,50,30,100,100,80
60,220,2300,50,30,100,100,80
61,223,2320,50,30,100,100,80
62,226,2340,50,30,100,100,80
63,229,2360,50,30,100,100,80
64,232,2380,50,30,100,100,80
65,235,2400,50,30,100,100,80
66,238,2420,50,30,100,100,80
67,241,2440,50,30,100,100,80
68,244,2460,50,30,100,100,80
69,247,2480,50,30,100,100,80
70,250,2500,50,30,80,70,80
71,258,2512,50,30,80,70,80
72,266,2524,50,30,80,70,80
73,274,2536,50,30,80,70,80
74,282,2548,50,30,80,70,80
75,290,2560,50,30,80,70,80
76,298,2572,50,30,80,70,80
77,306,2584,50,30,80,70,80
78,314,2596,50,30,80,70,80
79,322,2608,50,30,80,70,80
80,330,2620,50,30,80,70,80
81,339,2633,50,30,80,70,80
82,348,2646,50,30,80,70,80
83,357,2659,50,30,80,70,80
84,366,2672,50,30,80,70,80
85,375,2685,50,30,80,70,80
86,384,2698,50,30,80,70,80
87,393,2711,50,30,80,70,80
88,402,2724,50,30,80,70,80
89,411,2737,50,30,80,70,80
90,420,2750,50,30,80,70,80
91,423,2757,50,30,80,70,80
92,426,2764,50,30,80,70,80
93,429,2771,50,30,80,70,80
94,432,2778,50,30,80,70,80
95,435,2785,50,30,80,70,80
96,438,2792,50,30,80,70,80
97,441,2799,50,30,80,70,80
98,444,2806,50,30,80,70,80
99,447,2813,50,30,80,70,80
100,450,2820,50,30,80,70,80
101,453,2828,50,30,80,70,80
102,456,2836,50,30,80,70,80
103,459,2844,50,30,80,70,80
104,462,2852,50,30,80,70,80
105,465,2860,50,30,80,70,80
106,468,2868,50,30,80,70,80
107,471,2876,50,30,80,70,80
108,474,2884,50,30,80,70,80
109,477,2892,50,30,80,70,80
110,480,2900,50,30,80,70,80
111,480,2900,50,30,80,70,80
112,480,2900,50,30,80,70,80
113,480,2900,50,30,80,70,80
114,480,2900,50,30,80,70,80
115,220,2070,61,39,100,100,80
116,224,2077,61,39,100,100,80
117,228,2084,61,39,100,100,80
118,232,2091,61,39,100,100,80
119,236,2098,61,39,100,100,80
120,240,2105,61,39,100,100,80
121,244,2112,61,39,100,100,80
122,248,2119,61,39,100,100,80
123,252,2126,61,39,100,100,80
124,256,2133,61,39,100,100,80
125,260,2140,62,43,100,100,80
126,268,2154,62,43,100,100,80
127,276,2168,62,43,100,100,80
128,284,2182,62,43,100,100,80
129,292,2196,62,43,100,100,80
130,300,2210,63,43,100,100,80
131,313,2233,63,43,100,100,80
132,326,2256,63,43,100,100,80
133,340,2280,64,44,100,100,80
134,353,2303,64,44,100,100,80
135,366,2326,64,44,100,100,80
136,380,2350,65,45,100,100,70
137,393,2373,65,45,100,100,70
138,406,2396,65,45,100,100,70
139,420,2420,66,46,100,100,70
140,433,2443,66,46,100,100,70
141,446,2466,66,46,100,100,70
142,460,2490,67,47,100,100,70
143,473,2513,67,47,100,100,70
144,486,2536,67,47,100,100,70
145,500,2560,68,48,100,100,70
146,513,2583,68,48,100,100,70
147,526,2606,68,48,100,100,70
148,540,2630,69,49,100,100,70
149,560,2665,69,49,100,100,70
150,580,2700,70,50,100,100,70
151,588,2710,70,50,100,100,70
152,596,2720,70,50,100,100,70
153,604,2730,70,50,100,100,70
154,612,2740,70,50,100,100,70
155,620,2750,70,50,100,100,70
156,628,2760,70,50,100,100,70
157,636,2770,70,50,100,100,70
158,644,2780,70,50,100,100,70
159,652,2790,70,50,100,100,70
160,660,2800,70,50,100,100,70
161,664,2805,70,50,100,100,70
162,668,2810,70,50,100,100,70
163,672,2815,70,50,100,100,70
164,676,2820,70,50,100,100,70
165,680,2825,70,50,100,100,70
166,684,2830,70,50,100,100,70
167,688,2835,70,50,100,100,70
168,692,2840,70,50,100,100,70
169,696,2845,70,50,100,100,70
170,700,2850,70,50,100,100,70
171,704,2855,70,50,100,100,70
172,708,2860,70,50,100,100,70
173,712,2865,70,50,100,100,70
174,716,2870,70,50,100,100,70
175,720,2875,70,50,100,100,70
176,724,2880,70,50,100,100,70
177,728,2885,70,50,100,100,70
178,732,2890,70,50,100,100,70
179,736,2895,70,50,100,100,70
180,740,2900,70,50,80,70,70
181,744,2913,70,50,80,70,70
182,748,2926,70,50,80,70,70
183,752,2939,70,50,80,70,70
184,756,2952,70,50,80,70,70
185,760,2965,70,50,80,70,70
186,764,2978,70,50,80,70,70
187,768,2991,70,50,80,70,70
188,772,3004,70,50,80,70,70
189,776,3017,70,50,80,70,70
190,780,3030,70,50,80,70,70
191,785,3043,70,50,80,70,70
192,790,3056,70,50,80,70,70
193,795,3069,70,50,80,70,70
194,800,3082,70,50,80,70,70
195,805,3095,70,50,80,70,70
196,810,3108,70,50,80,70,70
197,815,3121,70,50,80,70,70
198,820,3134,70,50,80,70,70
199,825,3147,70,50,80,70,70
